ccn,state,county,county_fips,harm_survey_week,flagged,first_crossing_week,lead_days,score_at_crossing,prior_harm_rate_at_crossing,hprd_total_at_crossing,hprd_rn_at_crossing,rn_share_at_crossing,contract_frac_at_crossing,weekend_gap_at_crossing,hprd_cv_at_crossing,hprd_trend_at_crossing,low_days_frac_at_crossing,census_at_crossing,matched_controls,matched_controls_not_flagged
175417,KS,Marshall,117,2025-11-17,0,,,,,,,,,,,,,,159,125
175424,KS,Butler,015,2025-07-28,0,,,,,,,,,,,,,,60,48
175425,KS,Johnson,091,2025-11-17,1,2025-08-18,91,0.175902,0.0,3.444623,0.598672,0.173799,0.146488,0.129752,0.111583,0.008639,0.488889,36.822222,159,126
175437,KS,Mcpherson,113,2025-04-21,0,,,,,,,,,,,,,,154,129
175497,KS,Mcpherson,113,2025-06-02,0,,,,,,,,,,,,,,157,126
175498,KS,Ellis,051,2025-07-21,1,2025-05-19,63,0.16967,0.339136,3.846455,0.795294,0.20676,0.24832,0.138115,0.161798,-0.036566,0.293478,93.021739,26,15
175499,KS,Johnson,091,2026-01-26,0,,,,,,,,,,,,,,0,0
175502,KS,Douglas,045,2025-07-14,0,,,,,,,,,,,,,,157,126
175502,KS,Douglas,045,2025-11-17,1,2025-08-18,91,0.190292,0.464695,3.653176,0.40959,0.112119,0.302013,0.085961,0.136289,0.000467,0.422222,48.244444,159,126
175513,KS,Ford,057,2025-08-04,0,,,,,,,,,,,,,,60,48
175522,KS,Barton,009,2025-04-21,0,,,,,,,,,,,,,,154,129
175522,KS,Barton,009,2025-12-22,0,,,,,,,,,,,,,,159,125
175525,KS,Scott,171,2025-06-09,0,,,,,,,,,,,,,,157,126
175532,KS,Sedgwick,173,2025-04-21,0,,,,,,,,,,,,,,60,49
175539,KS,Sedgwick,173,2026-02-09,0,,,,,,,,,,,,,,60,50
175547,KS,Shawnee,177,2025-08-25,1,2025-03-24,154,0.199797,0.302109,2.530621,0.577649,0.228264,0.0,0.196033,0.12382,-0.00325,1.0,49.554348,159,124
175549,KS,Johnson,091,2025-11-17,0,,,,,,,,,,,,,,60,47
175557,KS,Johnson,091,2025-09-08,0,,,,,,,,,,,,,,26,13
175558,KS,Johnson,091,2026-02-09,0,,,,,,,,,,,,,,60,50
175566,KS,Pratt,151,2025-09-29,1,2025-04-07,175,0.173022,0.322944,3.211881,0.433769,0.135051,0.0,0.177129,0.123141,0.044732,0.75,50.728261,60,47
17A020,KS,Trego,195,2025-11-17,0,,,,,,,,,,,,,,159,125
17E034,KS,Comanche,033,2025-06-30,1,2025-03-24,98,0.172723,0.0,3.242898,0.275412,0.084928,0.0,0.134005,0.116384,0.038085,0.695652,40.326087,157,127
17E534,KS,Harper,077,2025-06-09,0,,,,,,,,,,,,,,157,126
