make,model,model_year,component_group,recall_report_week,campaign_numbers,flagged,first_crossing_week,lead_days,score_at_crossing,n_trailing_at_crossing,rate_ratio_at_crossing,accel_at_crossing,severity_frac_at_crossing,hazard_lang_at_crossing,matched_controls,matched_controls_not_flagged
MINI,COOPER CLUBMAN,2009,ELECTRICAL SYSTEM,2023-05-11,23V337000,0,,,,,,,,,12,0
HYUNDAI,SONATA HYBRID,2011,SERVICE BRAKES,2023-09-21,23V651000,1,2023-08-24,28,0.013191,1.0,4.333333,1.0,0.0,0.0,121,0
HYUNDAI,AZERA,2012,SERVICE BRAKES,2023-09-21,23V651000,0,,,,,,,,,170,0
MERCEDES BENZ,GL450,2008,SERVICE BRAKES,2022-05-05,22V315000,0,,,,,,,,,48,0
MERCEDES BENZ,GL450,2008,SERVICE BRAKES,2024-04-25,24V298000,1,2023-12-28,119,0.020954,1.0,2.166667,1.0,0.0,0.0,33,0
BMW,528I,2012,ENGINE,2024-08-08,24V608000,1,2024-05-09,91,0.013191,1.0,4.333333,1.0,0.0,0.0,99,0
FORD,ESCAPE,2014,POWER TRAIN,2022-06-09,22V413000,1,2021-12-16,175,0.034601,9.0,0.975,1.0,0.0,0.222222,400,0
FORD,FUSION,2013,POWER TRAIN,2022-06-09,22V413000,1,2021-12-16,175,0.031496,1.0,0.240741,1.0,0.0,0.0,346,0
HYUNDAI,SONATA HYBRID,2013,SERVICE BRAKES,2023-09-21,23V651000,1,2023-07-06,77,0.013191,1.0,4.333333,1.0,0.0,0.0,190,0
FORD,RANGER,2004,AIR BAGS,2023-02-23,23V125000,1,2022-09-29,147,0.014805,1.0,4.333333,1.0,1.0,1.0,73,0
FORD,RANGER,2004,AIR BAGS,2023-04-27,23V306000,1,2022-11-03,175,0.014492,1.0,4.333333,0.0,1.0,1.0,82,0
KIA,SORENTO,2014,SERVICE BRAKES,2023-09-21,23V652000,1,2023-08-17,35,0.024426,1.0,1.444444,1.0,0.0,0.0,188,0
FORD,FUSION,2014,POWER TRAIN,2022-06-09,22V413000,1,2021-12-16,175,0.023693,3.0,0.722222,-1.0,0.0,0.666667,400,0
MINI,COOPER,2012,ELECTRICAL SYSTEM,2023-05-11,23V337000,0,,,,,,,,,13,0
MINI,COOPER S,2008,ELECTRICAL SYSTEM,2023-05-11,23V337000,0,,,,,,,,,7,0
INFINITI,M35,2008,AIR BAGS,2022-08-04,22E066000,0,,,,,,,,,20,0
HYUNDAI,SONATA,2013,FUEL/PROPULSION SYSTEM,2022-05-05,22V312000,1,2021-11-11,175,0.021992,5.0,1.031746,0.0,0.0,1.0,173,0
VOLKSWAGEN,PASSAT,2012,AIR BAGS,2024-10-24,24V834000,1,2024-05-02,175,0.012911,1.0,4.333333,0.0,0.0,0.0,59,0
NISSAN,VERSA,2009,AIR BAGS,2022-08-04,22E066000,1,2022-02-10,175,0.026805,1.0,1.444444,0.0,1.0,1.0,100,0
HYUNDAI,VERACRUZ,2011,SERVICE BRAKES,2023-09-21,23V651000,0,,,,,,,,,122,0
VOLKSWAGEN,PASSAT,2007,AIR BAGS,2024-10-24,24V834000,0,,,,,,,,,17,0
GMC,TERRAIN,2013,EXTERIOR LIGHTING,2022-03-03,22V137000,0,,,,,,,,,95,0
MERCEDES BENZ,ML350,2008,SERVICE BRAKES,2022-05-05,22V315000,0,,,,,,,,,48,0
MERCEDES BENZ,ML350,2008,SERVICE BRAKES,2024-04-25,24V298000,0,,,,,,,,,34,0
RAM,1500,2014,ENGINE,2023-06-08,23V411000,1,2022-12-15,175,0.028993,5.0,0.984848,0.0,0.0,0.2,77,0
HYUNDAI,VERACRUZ,2010,SERVICE BRAKES,2023-09-21,23V651000,0,,,,,,,,,91,0
MERCEDES BENZ,E500,2005,VISIBILITY,2022-12-22,22V954000,0,,,,,,,,,46,0
MERCEDES BENZ,E500,2005,VISIBILITY,2024-11-14,24V874000,0,,,,,,,,,28,0
MINI,COOPER S,2011,ELECTRICAL SYSTEM,2023-05-11,23V337000,0,,,,,,,,,17,0
BMW,328XI,2007,AIR BAGS,2024-06-27,24V513000,0,,,,,,,,,36,0
MERCEDES-BENZ,CLA250,2014,STRUCTURE,2023-12-14,23V854000,1,2023-10-12,63,0.013191,1.0,4.333333,1.0,0.0,0.0,134,0
NISSAN,ROGUE,2014,ELECTRICAL SYSTEM,2022-01-20,22V024000,1,2022-01-13,7,0.020954,1.0,2.166667,1.0,0.0,0.0,187,0
